Group,Category,Date,Description,Amount
Expenses,Toll,2024-08-17,Exat,3000.00
Expenses,Service Charges,2024-08-01,KBANK,8.00
Expenses,Home Maintenance,2024-08-05,Gardener ,6000.00
Expenses,Home Meal,2024-08-03,Summakorn market,220.00
Expenses,Home Meal,2024-08-03,Summakorn market,120.00
Expenses,Home Meal,2024-08-13,Top Supermaket,354.00
Expenses,Home Meal,2024-08-13,Sunmoulin,246.00
Expenses,Home Meal,2024-08-13,Top Supermaket,138.00
Expenses,Home Meal,2024-08-17,Siam Paragon,195.00
Expenses,Home Meal,2024-08-17,Siam Paragon,170.00
Expenses,Home Meal,2024-08-17,Siam Paragon,70.00
Expenses,Home Meal,2024-08-17,Siam Paragon,70.00
Expenses,Home Meal,2024-08-19,Wako Central World,823.90
Expenses,Home Meal,2024-08-20,Waraporn,210.00
Expenses,Home Meal,2024-08-20,Waraporn,130.00
Expenses,Home Monthly Varaible Exp,2024-08-08,Tai,30000.00
Expenses,Insurance Automobile,2024-08-01,ThaiSri Insurance,20000.00
Expenses,My Healthcare,2024-08-16,Lazada,167.00
Expenses,My Healthcare,2024-08-17,Phaythai Hospital,935.00
Expenses,My Meals,2024-08-06,Burapha Phirom,165.00
Expenses,My Meals,2024-08-06,Top Supermaket,160.00
Expenses,My Meals,2024-08-06,Taobin,45.00
Expenses,My Meals,2024-08-08,Central Rama 3,165.00
Expenses,My Meals,2024-08-08,Central Rama 3,140.00
Expenses,My Meals,2024-08-11,King Powers,116.00
Expenses,My Meals,2024-08-11,Cha Tra Mue,50.00
Expenses,My Meals,2024-08-13,Central World,150.00
Expenses,My Meals,2024-08-13,Chagee,115.00
Expenses,My Meals,2024-08-19,Amazon Cafe,65.00
Expenses,Dividend Tax,2024-08-21,SCGP,20.00
Expenses,Federal Income Tax,2024-08-08,Tax Department,3786.47
Expenses,Federal Income Tax,2024-08-27,Tax Department,2445.00
Expenses,other expenses: Misc,2024-08-06,Tai BBL 5217,60.00
